No.,측정일시,URL,사이트명,페이지상세,네트워크,Performance Score,상태,FCP (초),LCP (초),TBT (ms),Speed Index,측정시간,주요 문제점,개선 제안
1,2025. 12. 15 오후 10:34:11,https://www.google.com,Google,홈,Mobile 4G,93,우수,1.98,2.57,163,2.72,10초,"사용하지 않는 자바스크립트 줄이기, 렌더링 차단 요청, First Contentful Paint, Largest Contentful Paint, 네트워크 종속 항목 트리",사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 317KiB | First Contentful Paint: 2.0 초 | Largest Contentful Paint: 2.6 초
2,2025. 12. 15 오후 10:34:11,https://www.naver.com,Naver,홈,Mobile 4G,48,개선 필요,4.26,19.18,406,8.89,36초,"First Contentful Paint, 강제 실행된 리플로우, Largest Contentful Paint, Total Blocking Time, 사용하지 않는 자바스크립트 줄이기",First Contentful Paint: 4.3 초 | Largest Contentful Paint: 19.2 초 | Total Blocking Time: 410 밀리초
3,2025. 12. 15 오후 10:34:11,https://dr-piel.com/,닥터피엘,홈,Mobile 4G,2,개선 필요,17.85,34.88,2333,27.43,64초,"글꼴 표시, 자바스크립트 실행 시간 단축, 사용하지 않는 자바스크립트 줄이기, 효율적인 캐시 수명 사용, 네트워크 종속 항목 트리","글꼴 표시: 예상 절감 시간: 90밀리초 | 자바스크립트 실행 시간 단축: 6.4 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 2,087KiB"
4,2025. 12. 15 오후 10:34:11,https://dr-piel.com/233,닥터피엘,상품목록,Mobile 4G,3,개선 필요,17.4,43.58,1885,21.56,53초,"CSS 축소하기, 사용하지 않는 CSS 줄이기, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 레거시 JavaScript, 사용하지 않는 자바스크립트 줄이기",CSS 축소하기: 예상 절감 용량: 95KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 926KiB | 레거시 JavaScript: 예상 절감 용량: 45KiB
5,2025. 12. 15 오후 10:34:11,https://dr-piel.com/drpiel_total/?idx=190,닥터피엘,상품상세,Mobile 4G,4,개선 필요,17.85,90.98,1680,30.45,55초,"Cumulative Layout Shift, 대규모 레이아웃 변경 피하기, 최대 첫 입력 지연 예상 시간, 사용하지 않는 CSS 줄이기, 자바스크립트 줄이기",Cumulative Layout Shift: 1 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 15건 발견 | 최대 첫 입력 지연 예상 시간: 540 밀리초
6,2025. 12. 15 오후 10:34:11,https://ilenol.com/,아이레놀,홈,Mobile 4G,8,개선 필요,13.43,81.9,1029,26.96,46초,"Cumulative Layout Shift, First Contentful Paint, 네트워크 종속 항목 트리, 사용하지 않는 자바스크립트 줄이기, 효율적인 캐시 수명 사용","Cumulative Layout Shift: 1 | First Contentful Paint: 13.4 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,443KiB"
7,2025. 12. 15 오후 10:34:11,https://ilenol.com/allproduct,아이레놀,상품목록,Mobile 4G,24,개선 필요,13.95,37.28,309,15.06,30초,"자바스크립트 줄이기, 레이아웃 변경 원인, Cumulative Layout Shift, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 대규모 레이아웃 변경 피하기",자바스크립트 줄이기: 예상 절감 용량: 232KiB | Cumulative Layout Shift: 1 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 3건 발견
8,2025. 12. 15 오후 10:34:11,https://ilenol.com/137/?idx=1429,아이레놀,상품상세,Mobile 4G,4,개선 필요,14.93,75.9,1520,42.86,46초,"대규모 레이아웃 변경 피하기, LCP 분석, 자바스크립트 실행 시간 단축, 효율적인 캐시 수명 사용, 자바스크립트 줄이기","대규모 레이아웃 변경 피하기: 레이아웃 변경 11건 발견 | 자바스크립트 실행 시간 단축: 6.7 초 | 효율적인 캐시 수명 사용: 예상 절감 용량: 10,814KiB"
9,2025. 12. 15 오후 10:34:11,https://nelna.shop,낼라삽,홈,Mobile 4G,30,개선 필요,8.74,54.41,1182,18.38,46초,"이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, Speed Index, 자바스크립트 줄이기, 사용하지 않는 CSS 줄이기, LCP 요청 탐색",Speed Index: 18.4 초 | 자바스크립트 줄이기: 예상 절감 용량: 271KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 549KiB
10,2025. 12. 15 오후 10:34:11,https://nelna.shop/shop-all,낼라삽,상품목록,Mobile 4G,29,개선 필요,7.61,34.3,1418,14.56,58초,"강제 실행된 리플로우, 레거시 JavaScript, 자바스크립트 줄이기, LCP 요청 탐색, CSS 축소하기",레거시 JavaScript: 예상 절감 용량: 34KiB | 자바스크립트 줄이기: 예상 절감 용량: 248KiB | CSS 축소하기: 예상 절감 용량: 47KiB
11,2025. 12. 15 오후 10:34:11,https://nelna.shop/shop-all/?idx=7417,낼라삽,상품상세,Mobile 4G,27,개선 필요,9.04,35.75,662,15.22,37초,"Speed Index, 이미지 전송 개선, 최대 첫 입력 지연 예상 시간, 글꼴 표시, LCP 분석",Speed Index: 15.2 초 | 이미지 전송 개선: 예상 절감 용량: 151KiB | 최대 첫 입력 지연 예상 시간: 390 밀리초
12,2025. 12. 15 오후 10:34:11,https://madamjoo.store,마담주,홈,Mobile 4G,7,개선 필요,6.53,178.83,1230,29.04,64초,"네트워크 종속 항목 트리, 최대 첫 입력 지연 예상 시간, Largest Contentful Paint, 대규모 레이아웃 변경 피하기, Time to Interactive",최대 첫 입력 지연 예상 시간: 290 밀리초 | Largest Contentful Paint: 178.8 초 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 15건 발견
13,2025. 12. 15 오후 10:34:11,https://madamjoo.store/291,마담주,상품목록,Mobile 4G,18,개선 필요,6.3,82.32,1048,18.69,56초,"레거시 JavaScript, 네트워크 페이로드가 커지지 않도록 관리하기, 글꼴 표시, Cumulative Layout Shift, CSS 축소하기","레거시 JavaScript: 예상 절감 용량: 34KiB | 네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 28,796KiB | 글꼴 표시: 예상 절감 시간: 70밀리초"
14,2025. 12. 15 오후 10:34:11,https://madamjoo.store/299/?idx=5293,마담주,상품상세,Mobile 4G,28,개선 필요,6.75,44.33,1645,16.26,45초,"CSS 축소하기, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 최대 첫 입력 지연 예상 시간, 렌더링 차단 요청, Time to Interactive","CSS 축소하기: 예상 절감 용량: 52KiB | 최대 첫 입력 지연 예상 시간: 490 밀리초 | 렌더링 차단 요청: 예상 절감 시간: 4,820밀리초"
15,2025. 12. 15 오후 10:34:11,https://koreanssan.com/,대한민국농수산,홈,Mobile 4G,31,개선 필요,15.68,19.65,1169,15.68,45초,"강제 실행된 리플로우, LCP 분석, 자바스크립트 실행 시간 단축, 레거시 JavaScript, 최대 첫 입력 지연 예상 시간","자바스크립트 실행 시간 단축: 4.0 초 | 레거시 JavaScript: 예상 절감 용량: 59KiB | 최대 첫 입력 지연 예상 시간: 2,180 밀리초"
16,2025. 12. 15 오후 10:47:25,https://koreanssan.com/market,대한민국농수산,상품목록,Mobile 4G,0,실패,-,-,-,-,77초,HTTP 500,다시 시도 필요
17,2025. 12. 15 오후 10:47:25,https://koreanssan.com/shop_view/?idx=395,대한민국농수산,상품상세,Mobile 4G,11,개선 필요,15.08,22.05,3793,17.58,48초,"First Contentful Paint, 자바스크립트 줄이기, 사용하지 않는 CSS 줄이기, Time to Interactive, 대규모 레이아웃 변경 피하기",First Contentful Paint: 15.1 초 | 자바스크립트 줄이기: 예상 절감 용량: 317KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 488KiB
18,2025. 12. 15 오후 10:47:25,https://stenny.kr/,스테니,홈,Mobile 4G,32,개선 필요,8.18,32.69,1086,14.13,38초,"강제 실행된 리플로우, First Contentful Paint, 사용하지 않는 CSS 줄이기, LCP 요청 탐색, CSS 축소하기",First Contentful Paint: 8.2 초 | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 477KiB | CSS 축소하기: 예상 절감 용량: 55KiB
19,2025. 12. 15 오후 10:47:25,https://stenny.kr/store,스테니,상품목록,Mobile 4G,41,개선 필요,8.33,31.65,565,14.07,31초,"LCP 요청 탐색, 사용하지 않는 자바스크립트 줄이기, 효율적인 캐시 수명 사용, Speed Index, 네트워크 종속 항목 트리","사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 866KiB | 효율적인 캐시 수명 사용: 예상 절감 용량: 4,814KiB | Speed Index: 14.1 초"
20,2025. 12. 15 오후 10:47:25,https://stenny.kr/shop_view/?idx=180,스테니,상품상세,Mobile 4G,29,개선 필요,6.98,45.98,1635,19.64,54초,"기본 스레드 작업 최소화하기, 자바스크립트 줄이기, 네트워크 종속 항목 트리, 이미지 전송 개선, 효율적인 캐시 수명 사용","기본 스레드 작업 최소화하기: 9.8 초 | 자바스크립트 줄이기: 예상 절감 용량: 356KiB | 이미지 전송 개선: 예상 절감 용량: 12,881KiB"
21,2025. 12. 15 오후 10:47:25,https://sleeplab.co.kr/,슬룸,홈,Mobile 4G,26,개선 필요,13.43,43.43,2469,32.72,60초,"LCP 분석, 최대 첫 입력 지연 예상 시간, First Contentful Paint, 글꼴 표시, 강제 실행된 리플로우","최대 첫 입력 지연 예상 시간: 1,190 밀리초 | First Contentful Paint: 13.4 초 | 글꼴 표시: 예상 절감 시간: 100밀리초"
22,2025. 12. 15 오후 10:47:25,https://sleeplab.co.kr/all,슬룸,상품목록,Mobile 4G,27,개선 필요,17.4,63.5,2060,22.99,58초,"최대 첫 입력 지연 예상 시간, 기본 스레드 작업 최소화하기, Total Blocking Time, 사용하지 않는 CSS 줄이기, 사용하지 않는 자바스크립트 줄이기","최대 첫 입력 지연 예상 시간: 1,410 밀리초 | 기본 스레드 작업 최소화하기: 11.1 초 | Total Blocking Time: 2,060 밀리초"
23,2025. 12. 15 오후 10:47:25,https://sleeplab.co.kr/all/?idx=63,슬룸,상품상세,Mobile 4G,25,개선 필요,18.15,70.28,5837,35.19,86초,"최대 첫 입력 지연 예상 시간, 사용하지 않는 CSS 줄이기, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 자바스크립트 실행 시간 단축, 효율적인 캐시 수명 사용","최대 첫 입력 지연 예상 시간: 2,060 밀리초 | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 502KiB | 자바스크립트 실행 시간 단축: 13.8 초"
24,2025. 12. 15 오후 10:47:25,https://daybarrier.co.kr/,데이배리어,홈,Mobile 4G,8,개선 필요,24.75,61.49,1049,30.11,43초,"렌더링 차단 요청, 레이아웃 변경 원인, 대규모 레이아웃 변경 피하기, Largest Contentful Paint, CSS 축소하기","렌더링 차단 요청: 예상 절감 시간: 25,210밀리초 | 대규모 레이아웃 변경 피하기: 레이아웃 변경 3건 발견 | Largest Contentful Paint: 61.5 초"
25,2025. 12. 15 오후 10:47:25,https://daybarrier.co.kr/all,데이배리어,상품목록,Mobile 4G,2,개선 필요,16.8,52.13,2585,16.8,47초,"Total Blocking Time, LCP 요청 탐색, 레거시 JavaScript, 사용하지 않는 자바스크립트 줄이기, 대규모 레이아웃 변경 피하기","Total Blocking Time: 2,580 밀리초 | 레거시 JavaScript: 예상 절감 용량: 51KiB | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,066KiB"
26,2025. 12. 15 오후 10:47:25,https://daybarrier.co.kr/shop/?idx=62,데이배리어,상품상세,Mobile 4G,6,개선 필요,22.8,139.14,1287,24.2,56초,"사용하지 않는 CSS 줄이기, 자바스크립트 줄이기, 최대 첫 입력 지연 예상 시간, 이미지 전송 개선, 대규모 레이아웃 변경 피하기",사용하지 않는 CSS 줄이기: 예상 절감 용량: 333KiB | 자바스크립트 줄이기: 예상 절감 용량: 325KiB | 최대 첫 입력 지연 예상 시간: 580 밀리초
27,2025. 12. 15 오후 10:47:25,https://kidzplan.kr/,키즈플랜,홈,Mobile 4G,55,보통,13.43,40.81,106,14.46,40초,"First Contentful Paint, 기본 스레드 작업 최소화하기, 강제 실행된 리플로우, 자바스크립트 줄이기, 네트워크 페이로드가 커지지 않도록 관리하기",First Contentful Paint: 13.4 초 | 기본 스레드 작업 최소화하기: 4.4 초 | 자바스크립트 줄이기: 예상 절감 용량: 232KiB
28,2025. 12. 15 오후 10:47:25,https://kidzplan.kr/15,키즈플랜,상품목록,Mobile 4G,52,보통,13.13,30.57,150,13.13,33초,"Time to Interactive, 사용하지 않는 자바스크립트 줄이기, 글꼴 표시, 네트워크 페이로드가 커지지 않도록 관리하기, 강제 실행된 리플로우",Time to Interactive: 30.9 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 602KiB | 글꼴 표시: 예상 절감 시간: 40밀리초
29,2025. 12. 15 오후 10:47:25,https://kidzplan.kr/15/?idx=1,키즈플랜,상품상세,Mobile 4G,30,개선 필요,26.4,53.25,1308,27.39,52초,"Total Blocking Time, First Contentful Paint, 네트워크 종속 항목 트리, 레거시 JavaScript, Time to Interactive","Total Blocking Time: 1,310 밀리초 | First Contentful Paint: 26.4 초 | 레거시 JavaScript: 예상 절감 용량: 56KiB"
30,2025. 12. 15 오후 10:47:25,https://www.nuzam.co.kr/,누잠,홈,Mobile 4G,36,개선 필요,8.33,31.2,777,20.41,45초,"자바스크립트 줄이기, 사용하지 않는 CSS 줄이기, 사용하지 않는 자바스크립트 줄이기, Speed Index, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다","자바스크립트 줄이기: 예상 절감 용량: 232KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 450KiB | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,250KiB"
31,2025. 12. 15 오후 11:01:58,https://www.nuzam.co.kr/online-shop,누잠,상품목록,Mobile 4G,26,개선 필요,8.03,33.08,1087,15.27,46초,"LCP 분석, 효율적인 캐시 수명 사용, 글꼴 표시, 사용하지 않는 CSS 줄이기, 대규모 레이아웃 변경 피하기","효율적인 캐시 수명 사용: 예상 절감 용량: 6,448KiB | 글꼴 표시: 예상 절감 시간: 960밀리초 | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 341KiB"
32,2025. 12. 15 오후 11:01:58,https://www.nuzam.co.kr/shop_view/?idx=2526,누잠,상품상세,Mobile 4G,26,개선 필요,10.28,86.25,2763,28.42,72초,"자바스크립트 줄이기, 효율적인 캐시 수명 사용, Total Blocking Time, 사용하지 않는 CSS 줄이기, 사용하지 않는 자바스크립트 줄이기","자바스크립트 줄이기: 예상 절감 용량: 318KiB | 효율적인 캐시 수명 사용: 예상 절감 용량: 18,213KiB | Total Blocking Time: 2,760 밀리초"
33,2025. 12. 15 오후 11:01:58,https://lenssis-ko.com/,렌시스,홈,Mobile 4G,31,개선 필요,9.6,51.9,1060,18.44,43초,"사용하지 않는 CSS 줄이기, 레거시 JavaScript, 렌더링 차단 요청, 자바스크립트 줄이기, 최대 첫 입력 지연 예상 시간","사용하지 않는 CSS 줄이기: 예상 절감 용량: 364KiB | 레거시 JavaScript: 예상 절감 용량: 34KiB | 렌더링 차단 요청: 예상 절감 시간: 8,600밀리초"
34,2025. 12. 15 오후 11:01:58,https://lenssis-ko.com/251,렌시스,상품목록,Mobile 4G,26,개선 필요,13.05,35.35,1207,15.05,36초,"이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 레거시 JavaScript, Speed Index, LCP 분석, 네트워크 페이로드가 커지지 않도록 관리하기","레거시 JavaScript: 예상 절감 용량: 34KiB | Speed Index: 15.1 초 | 네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 6,779KiB"
35,2025. 12. 15 오후 11:01:58,https://lenssis-ko.com/251/?idx=304,렌시스,상품상세,Mobile 4G,9,개선 필요,18.08,50.03,1403,20.88,43초,"네트워크 페이로드가 커지지 않도록 관리하기, Speed Index, 자바스크립트 실행 시간 단축, First Contentful Paint, 사용하지 않는 자바스크립트 줄이기","네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 35,872KiB | Speed Index: 20.9 초 | 자바스크립트 실행 시간 단축: 5.1 초"
36,2025. 12. 15 오후 11:01:58,https://miraclesydney.co.kr/,미라클 시드니,홈,Mobile 4G,4,개선 필요,7.65,23.25,1515,17.05,41초,"대규모 레이아웃 변경 피하기, 최대 첫 입력 지연 예상 시간, 네트워크 페이로드가 커지지 않도록 관리하기, CSS 축소하기, 이미지 전송 개선","대규모 레이아웃 변경 피하기: 레이아웃 변경 15건 발견 | 최대 첫 입력 지연 예상 시간: 400 밀리초 | 네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 21,049KiB"
37,2025. 12. 15 오후 11:01:58,https://miraclesydney.co.kr/all,미라클 시드니,상품목록,Mobile 4G,29,개선 필요,9.38,11.93,1609,19.38,44초,"효율적인 캐시 수명 사용, 사용하지 않는 자바스크립트 줄이기, 기본 스레드 작업 최소화하기, 사용하지 않는 CSS 줄이기, 렌더링 차단 요청","효율적인 캐시 수명 사용: 예상 절감 용량: 3,977KiB | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,023KiB | 기본 스레드 작업 최소화하기: 6.0 초"
38,2025. 12. 15 오후 11:01:58,https://miraclesydney.co.kr/shop_view/?idx=1,미라클 시드니,상품상세,Mobile 4G,3,개선 필요,6.75,35.55,1827,25.84,52초,"렌더링 차단 요청, Cumulative Layout Shift, 기본 스레드 작업 최소화하기, 사용하지 않는 자바스크립트 줄이기, 자바스크립트 실행 시간 단축","렌더링 차단 요청: 예상 절감 시간: 5,290밀리초 | Cumulative Layout Shift: 1 | 기본 스레드 작업 최소화하기: 9.6 초"
39,2025. 12. 15 오후 11:01:58,https://www.rangcompany.com/,랑컴퍼니,홈,Mobile 4G,6,개선 필요,4.5,95.64,2137,13.24,41초,"사용하지 않는 자바스크립트 줄이기, 기본 스레드 작업 최소화하기, Total Blocking Time, 효율적인 캐시 수명 사용, 레이아웃 변경 원인","사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 819KiB | 기본 스레드 작업 최소화하기: 5.1 초 | Total Blocking Time: 2,140 밀리초"
40,2025. 12. 15 오후 11:01:58,https://www.rangcompany.com/products,랑컴퍼니,상품목록,Mobile 4G,37,개선 필요,4.5,21.46,1039,7.75,53초,"이미지 전송 개선, First Contentful Paint, 강제 실행된 리플로우, 사용하지 않는 자바스크립트 줄이기, 최대 첫 입력 지연 예상 시간","이미지 전송 개선: 예상 절감 용량: 4,034KiB | First Contentful Paint: 4.5 초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 630KiB"
41,2025. 12. 15 오후 11:01:58,https://www.rangcompany.com/products/?idx=398,랑컴퍼니,상품상세,Mobile 4G,32,개선 필요,4.8,27.22,1370,10.11,57초,"LCP 분석, Total Blocking Time, CSS 축소하기, First Contentful Paint, 레거시 JavaScript","Total Blocking Time: 1,370 밀리초 | CSS 축소하기: 예상 절감 용량: 30KiB | First Contentful Paint: 4.8 초"
42,2025. 12. 15 오후 11:01:58,https://getvenus.co.kr/,겟비너스,홈,Mobile 4G,2,개선 필요,25.21,57.08,2516,25.21,48초,"First Contentful Paint, CSS 축소하기, 렌더링 차단 요청, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, Cumulative Layout Shift","First Contentful Paint: 25.2 초 | CSS 축소하기: 예상 절감 용량: 44KiB | 렌더링 차단 요청: 예상 절감 시간: 26,190밀리초"
43,2025. 12. 15 오후 11:01:58,https://getvenus.co.kr/shopping,겟비너스,상품목록,Mobile 4G,7,개선 필요,28.96,54.23,1107,28.96,37초,"Total Blocking Time, 레이아웃 변경 원인, Largest Contentful Paint, Speed Index, 사용하지 않는 CSS 줄이기","Total Blocking Time: 1,110 밀리초 | Largest Contentful Paint: 54.2 초 | Speed Index: 29.0 초"
44,2025. 12. 15 오후 11:01:58,https://getvenus.co.kr/shop/?idx=206,겟비너스,상품상세,Mobile 4G,5,개선 필요,20.7,76.46,1446,20.7,43초,"네트워크 종속 항목 트리, 네트워크 페이로드가 커지지 않도록 관리하기, CSS 축소하기, 최대 첫 입력 지연 예상 시간, 글꼴 표시","네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 39,532KiB | CSS 축소하기: 예상 절감 용량: 39KiB | 최대 첫 입력 지연 예상 시간: 830 밀리초"
45,2025. 12. 15 오후 11:01:58,https://researchers.kr/,리서쳐스,홈,Mobile 4G,31,개선 필요,30.61,69.4,37,30.61,33초,"효율적인 캐시 수명 사용, 기본 스레드 작업 최소화하기, 네트워크 종속 항목 트리, 레이아웃 변경 원인, 글꼴 표시","효율적인 캐시 수명 사용: 예상 절감 용량: 12,923KiB | 기본 스레드 작업 최소화하기: 3.1 초 | 글꼴 표시: 예상 절감 시간: 610밀리초"
46,2025. 12. 15 오후 11:14:10,https://researchers.kr/all,리서쳐스,상품목록,Mobile 4G,31,개선 필요,30.31,55.04,12,30.31,34초,"기본 스레드 작업 최소화하기, CSS 축소하기, First Contentful Paint, 대규모 레이아웃 변경 피하기, 네트워크 종속 항목 트리",기본 스레드 작업 최소화하기: 3.3 초 | CSS 축소하기: 예상 절감 용량: 58KiB | First Contentful Paint: 30.3 초
47,2025. 12. 15 오후 11:14:10,https://researchers.kr/shop/?idx=71,리서쳐스,상품상세,Mobile 4G,12,개선 필요,35.7,140.48,756,35.7,42초,"네트워크 종속 항목 트리, Cumulative Layout Shift, 사용하지 않는 CSS 줄이기, 레거시 JavaScript, Largest Contentful Paint",Cumulative Layout Shift: 1 | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 545KiB | 레거시 JavaScript: 예상 절감 용량: 64KiB
48,2025. 12. 15 오후 11:14:10,https://biocom.kr/,바이오컴,홈,Mobile 4G,28,개선 필요,9,25.96,1887,21.69,56초,"강제 실행된 리플로우, LCP 요청 탐색, CSS 축소하기, 기본 스레드 작업 최소화하기, 글꼴 표시",CSS 축소하기: 예상 절감 용량: 69KiB | 기본 스레드 작업 최소화하기: 9.4 초 | 글꼴 표시: 예상 절감 시간: 510밀리초
49,2025. 12. 15 오후 11:14:10,https://biocom.kr/all_supplements,바이오컴,상품목록,Mobile 4G,27,개선 필요,4.58,51.7,2310,19.29,52초,"글꼴 표시, 사용하지 않는 자바스크립트 줄이기, Largest Contentful Paint, Time to Interactive, 강제 실행된 리플로우","글꼴 표시: 예상 절감 시간: 10밀리초 | 사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 1,144KiB | Largest Contentful Paint: 51.7 초"
50,2025. 12. 15 오후 11:14:10,https://biocom.kr/all_supplements/?idx=97,바이오컴,상품상세,Mobile 4G,0,실패,-,-,-,-,60초,네트워크 오류,다시 시도 필요
51,2025. 12. 15 오후 11:14:10,https://viabello.co.kr/,비아벨로,홈,Mobile 4G,55,보통,24.83,102.84,11,24.83,41초,"렌더링 차단 요청, Speed Index, 기본 스레드 작업 최소화하기, 효율적인 캐시 수명 사용, LCP 요청 탐색","렌더링 차단 요청: 예상 절감 시간: 24,750밀리초 | Speed Index: 24.8 초 | 기본 스레드 작업 최소화하기: 4.3 초"
52,2025. 12. 15 오후 11:14:10,https://viabello.co.kr/product,비아벨로,상품목록,Mobile 4G,55,보통,24.6,42.78,35,24.6,33초,"이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 레거시 JavaScript, Speed Index, First Contentful Paint, 자바스크립트 줄이기",레거시 JavaScript: 예상 절감 용량: 43KiB | Speed Index: 24.6 초 | First Contentful Paint: 24.6 초
53,2025. 12. 15 오후 11:14:10,https://viabello.co.kr/shop/?idx=190,비아벨로,상품상세,Mobile 4G,30,개선 필요,30.3,70.35,1309,30.3,117초,"이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, First Contentful Paint, 사용하지 않는 CSS 줄이기, 이미지 전송 개선, 레거시 JavaScript","First Contentful Paint: 30.3 초 | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 414KiB | 이미지 전송 개선: 예상 절감 용량: 16,032KiB"
54,2025. 12. 15 오후 11:14:10,https://www.homuro.co.kr/,호무로,홈,Mobile 4G,29,개선 필요,8.78,60.48,1579,35.15,126초,"Total Blocking Time, LCP 분석, 레거시 JavaScript, 사용하지 않는 CSS 줄이기, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다","Total Blocking Time: 1,580 밀리초 | 레거시 JavaScript: 예상 절감 용량: 82KiB | 사용하지 않는 CSS 줄이기: 예상 절감 용량: 708KiB"
55,2025. 12. 15 오후 11:14:10,https://www.homuro.co.kr/all,호무로,상품목록,Mobile 4G,29,개선 필요,9.45,51.9,1532,17.59,45초,"Largest Contentful Paint, 효율적인 캐시 수명 사용, 렌더링 차단 요청, 자바스크립트 줄이기, 자바스크립트 실행 시간 단축","Largest Contentful Paint: 51.9 초 | 효율적인 캐시 수명 사용: 예상 절감 용량: 8,934KiB | 렌더링 차단 요청: 예상 절감 시간: 9,470밀리초"
56,2025. 12. 15 오후 11:14:10,https://www.homuro.co.kr/all/?idx=579,호무로,상품상세,Mobile 4G,27,개선 필요,10.13,50.55,1678,23.22,48초,"Speed Index, 렌더링 차단 요청, 글꼴 표시, First Contentful Paint, Time to Interactive","Speed Index: 23.2 초 | 렌더링 차단 요청: 예상 절감 시간: 10,040밀리초 | 글꼴 표시: 예상 절감 시간: 570밀리초"
57,2025. 12. 15 오후 11:14:10,https://mynormal.shop/,마이노멀,홈,Mobile 4G,6,개선 필요,12.83,75.71,1268,28.37,177초,"자바스크립트 실행 시간 단축, 자바스크립트 줄이기, 이미지 전송 개선, First Contentful Paint, 기본 스레드 작업 최소화하기","자바스크립트 실행 시간 단축: 6.2 초 | 자바스크립트 줄이기: 예상 절감 용량: 270KiB | 이미지 전송 개선: 예상 절감 용량: 40,213KiB"
58,2025. 12. 15 오후 11:14:10,https://mynormal.shop/all-products,마이노멀,상품목록,Mobile 4G,27,개선 필요,12.53,15.75,1612,14,63초,"LCP 분석, Largest Contentful Paint, 레거시 JavaScript, 효율적인 캐시 수명 사용, LCP 요청 탐색","Largest Contentful Paint: 15.8 초 | 레거시 JavaScript: 예상 절감 용량: 64KiB | 효율적인 캐시 수명 사용: 예상 절감 용량: 9,691KiB"
59,2025. 12. 15 오후 11:14:10,https://mynormal.shop/shop_view/?idx=369,마이노멀,상품상세,Mobile 4G,4,개선 필요,12.53,24.57,1661,22.84,50초,"Speed Index, CSS 축소하기, 자바스크립트 줄이기, LCP 요청 탐색, 네트워크 페이로드가 커지지 않도록 관리하기",Speed Index: 22.8 초 | CSS 축소하기: 예상 절감 용량: 61KiB | 자바스크립트 줄이기: 예상 절감 용량: 317KiB
60,2025. 12. 15 오후 11:14:10,https://dearlabs.kr/,디어랩스,홈,Mobile 4G,8,개선 필요,13.43,14.11,1054,21.28,43초,"강제 실행된 리플로우, 이미지 요소에 `width` 및 `height`가 명시되어 있지 않습니다, 사용하지 않는 자바스크립트 줄이기, 대규모 레이아웃 변경 피하기, 자바스크립트 실행 시간 단축",사용하지 않는 자바스크립트 줄이기: 예상 절감 용량: 998KiB | 대규모 레이아웃 변경 피하기: 레이아웃 변경 3건 발견 | 자바스크립트 실행 시간 단축: 3.3 초
61,2025. 12. 15 오후 11:32:38,https://dearlabs.kr/STORE-ALL,디어랩스,상품목록,Mobile 4G,2,개선 필요,7.2,33.7,2222,20.42,39초,"네트워크 페이로드가 커지지 않도록 관리하기, 레이아웃 변경 원인, 최대 첫 입력 지연 예상 시간, 레거시 JavaScript, 렌더링 차단 요청","네트워크 페이로드가 커지지 않도록 관리하기: 총 크기: 7,412KiB | 최대 첫 입력 지연 예상 시간: 2,180 밀리초 | 레거시 JavaScript: 예상 절감 용량: 52KiB"
